experiment,block,n_factors,item,communality,uniqueness
Experiment 3 (0318/0319/0322),interaction,2,content_control,1.3567787772492093,0.6973330431940366
Experiment 3 (0318/0319/0322),interaction,2,interface_exploration,0.6845705341338402,0.7712194837590157
Experiment 3 (0318/0319/0322),interaction,2,interface_interaction,0.31435413573972526,0.42648835984931943
Experiment 3 (0318/0319/0322),interaction,2,interface_responsiveness,0.45186018530315225,0.6874357504270652
Experiment 3 (0318/0319/0322),interaction,2,interface_sensitivity,0.3025593675486168,0.47573807015885883
Experiment 3 (0318/0319/0322),interaction,2,navigation_control,1.1133878496327212,0.4774006549785077
Experiment 3 (0318/0319/0322),interaction,2,pace_control,0.6559622759061416,0.6023917087090398
Experiment 3 (0318/0319/0322),interaction,2,personal_conversation,0.25112047630568307,0.3674245299851027
Experiment 3 (0318/0319/0322),interaction,2,user_communication,0.17746114163203375,0.3733376025164115
Experiment 3 (0318/0319/0322),interaction,3,content_control,1.3022332739266422,0.7521785949557358
Experiment 3 (0318/0319/0322),interaction,3,interface_exploration,0.8687581534407365,0.5890286018060864
Experiment 3 (0318/0319/0322),interaction,3,interface_interaction,0.3069513994384094,0.4340611234584144
Experiment 3 (0318/0319/0322),interaction,3,interface_responsiveness,0.5073238062253003,0.6315790971880745
Experiment 3 (0318/0319/0322),interaction,3,interface_sensitivity,0.30153722960790735,0.4768297182264477
Experiment 3 (0318/0319/0322),interaction,3,navigation_control,1.2431705334526129,0.3475234227401891
Experiment 3 (0318/0319/0322),interaction,3,pace_control,0.6503199119339457,0.6077483923031258
Experiment 3 (0318/0319/0322),interaction,3,personal_conversation,0.27808021198791494,0.33987740146624074
Experiment 3 (0318/0319/0322),interaction,3,user_communication,0.18090620931678422,0.36987461536701294
Experiment 3 (0318/0319/0322),interaction,4,content_control,1.2862123704407378,0.7685306911793075
Experiment 3 (0318/0319/0322),interaction,4,interface_exploration,0.9526388478920927,0.504419375377033
Experiment 3 (0318/0319/0322),interaction,4,interface_interaction,0.45609435283380684,0.2856134180143719
Experiment 3 (0318/0319/0322),interaction,4,interface_responsiveness,0.484899611834049,0.6543873191567429
Experiment 3 (0318/0319/0322),interaction,4,interface_sensitivity,0.30358893087307737,0.4746600501387529
Experiment 3 (0318/0319/0322),interaction,4,navigation_control,1.2551175768584442,0.33462474128108366
Experiment 3 (0318/0319/0322),interaction,4,pace_control,0.6637790305880512,0.594406976015638
Experiment 3 (0318/0319/0322),interaction,4,personal_conversation,0.24034321728092378,0.3775958821997234
Experiment 3 (0318/0319/0322),interaction,4,user_communication,0.2808255079639993,0.27075945277715097
Experiment 3 (0318/0319/0322),trust,1,comprehension_ease,0.5276074316567636,0.56441026941381
Experiment 3 (0318/0319/0322),trust,1,data_trust,0.19348240636947417,0.3968634723438448
Experiment 3 (0318/0319/0322),trust,1,skeptical_rating,0.24415593576404715,0.5503213335120947
Experiment 3 (0318/0319/0322),trust,1,usability_difficulty,0.8818731939758732,0.7603314418107309
Experiment 3 (0318/0319/0322),trust,2,comprehension_ease,0.6123884816214905,0.4788815775261296
Experiment 3 (0318/0319/0322),trust,2,data_trust,0.33040986837106917,0.26024205453899096
Experiment 3 (0318/0319/0322),trust,2,skeptical_rating,0.43901453921512296,0.35606653348072975
Experiment 3 (0318/0319/0322),trust,2,usability_difficulty,1.006450042218975,0.6366762050261783
Experiment 3 (0318/0319/0322),trust,3,comprehension_ease,0.6145453591350705,0.47717646178200146
Experiment 3 (0318/0319/0322),trust,3,data_trust,0.3314286093609804,0.25934229290440464
Experiment 3 (0318/0319/0322),trust,3,skeptical_rating,0.4403538377374761,0.35481103677301545
Experiment 3 (0318/0319/0322),trust,3,usability_difficulty,1.0089339492093465,0.6348080520642434
Experiment 3 (0318/0319/0322),trust,4,comprehension_ease,0.5204809344756086,0.6735625828944241
Experiment 3 (0318/0319/0322),trust,4,data_trust,0.22282401062742305,0.47881159290284203
Experiment 3 (0318/0319/0322),trust,4,skeptical_rating,0.29398892198081794,0.6415595273831933
Experiment 3 (0318/0319/0322),trust,4,usability_difficulty,0.9104995015557982,0.8229286069121987
