city_a_estimate,city_b_estimate,click_events,comprehension_ease,condition,condition_id,condition_name,confidence_label,confidence_rating,data_trust,display_format,end_time,failed_audio,failed_images,failed_video,hover_events,interaction_log,internal_node_id,participant_id,percent_score,phase,phase1_complete,phase2_complete,predictions_shown,probability_estimate,question_order,response,responses,round,rt,rt_total,skeptical_rating,slider_moved,start_time,stimulus,success,time_elapsed,time_on_viz,timeout,total_interactions,total_questions,total_score,travel_choice,trial_index,trial_type,trust_composite,usability_composite,usability_difficulty,view_history,visualization_literacy_score,visualization_shown
,,,,,,,,,,,,,,,,,0.0-10.0,63480f3ff2ebda4f9403cc01,,,,,,,,0,,,7066,,,,,"
			<div class=""section-intro"">
				<h2>Trust & Experience Assessment</h2>
				<p>Thank you for completing the prediction tasks!</p>
				<p>Now we'd like to understand your experience with the forecast visualization you just used.</p>
			</div>
		",,676525,,,,,,,10,html-button-response,,,,,,
,,,,,condition_7_buggy,Buggy Control,,,,broken_interactions,,,,,,,0.0-11.0,63480f3ff2ebda4f9403cc01,,2,,,,,"[""navigation_control"",""content_control"",""pace_control"",""company_communication"",""interface_responsiveness"",""customer_communication"",""personal_conversation"",""interface_interaction"",""interface_sensitivity""]","{""navigation_control"":6,""content_control"":0,""pace_control"":6,""company_communication"":0,""interface_responsiveness"":3,""customer_communication"":0,""personal_conversation"":2,""interface_interaction"":3,""interface_sensitivity"":3}",,1,69421,,,,,,,745947,,,,,,,11,trust-survey,,,,,,
,,,1,,condition_7_buggy,Buggy Control,,,4,broken_interactions,,,,,,,0.0-12.0,63480f3ff2ebda4f9403cc01,,2,,,,,"[""skeptical_rating"",""data_trust"",""usability_difficulty"",""comprehension_ease""]","{""skeptical_rating"":5,""data_trust"":3,""usability_difficulty"":6,""comprehension_ease"":0}",,1,27800,,6,,,,,773748,,,,,,,12,trust-survey,4,1,7,,,
,,,,,,,,,,,,,,,,,0.0-13.0,63480f3ff2ebda4f9403cc01,,,,,,,,0,,,2842,,,,,"
			<div class=""section-intro"">
				<h2>Background Information</h2>
				<p>We're almost finished! This final section will ask for some background information to help us understand our results.</p>
			</div>
		",,776591,,,,,,,13,html-button-response,,,,,,
,,,,,condition_7_buggy,Buggy Control,,,,,,,,,,,0.0-14.0,63480f3ff2ebda4f9403cc01,,,,,,,"[""respect_others"",""good_word_everyone"",""retreat_from_others"",""avoid_contacts""]","{""respect_others"":5,""good_word_everyone"":3,""retreat_from_others"":3,""avoid_contacts"":2}",,,19636,,,,,,,796228,,,,,,,14,personality-survey,,,,,,
,,,,,condition_7_buggy,Buggy Control,,,,,,,,,,,0.0-15.0,63480f3ff2ebda4f9403cc01,,,,,,,,"{""age"":""39"",""major_field"":""banking""}",,,33834,,,,,,,830071,,,,,,,15,survey-text,,,,,,
,,,,,condition_7_buggy,Buggy Control,,,,,,,,,,,0.0-16.0,63480f3ff2ebda4f9403cc01,,,,,,,"[0,1]","{""education"":""High school or equivalent"",""viz_experience"":""Monthly""}",,,14969,,,,,,,845042,,,,,,,16,survey-multi-choice,,,,,,
,,,,,,,,,,,,,,,,,0.0-17.0,63480f3ff2ebda4f9403cc01,,,,,,,,,,,,,,,,,true,846043,,,,,,,17,fullscreen,,,,,,
,,,,,,,,,,,,,,,,,0.0-18.0,63480f3ff2ebda4f9403cc01,,,,,,,,0,,,3395,,,,,"
            <div class=""debrief"">
                <h2>Thank You!</h2>
                <p>This study investigated how different ways of presenting uncertainty in predictions affect trust and decision-making.</p>
                
                <h3>Study Background:</h3>
                <p>You were randomly assigned to one of nine different visualization conditions. The goal is to understand which formats help people make better decisions and maintain appropriate trust in prediction systems.</p>
                
                <p>The air quality data you saw was synthetic (computer-generated) for research purposes.</p>
                
                <h3>Questions?</h3>
                <p>If you have questions about this research, please contact the research team.</p>
                
                <p>Your participation contributes to understanding how to design better prediction visualizations for real-world applications like weather forecasting, financial predictions, and public health data.</p>
            </div>
        ",,849439,,,,,,,18,html-button-response,,,,,,
,,,,"{""id"":""condition_7_buggy"",""name"":""Buggy Control"",""displayFormat"":""broken_interactions"",""description"":""Broken interactions (misaligned, draggable, wrong hover zones)"",""instructions"":""Each line represent the prediction from one Forecast Agency.<br><br>Hint: Hover on the lines for more details""}",,,,,,,2025-12-08T20:59:14.575Z,,,,,,,63480f3ff2ebda4f9403cc01,,,true,true,,,,,,,,,,,2025-12-08T20:46:00.564Z,,,,,,,,,,,,,,,,5,
