city_a_estimate,city_b_estimate,click_events,comprehension_ease,condition,condition_id,condition_name,confidence_label,confidence_rating,data_trust,display_format,end_time,failed_audio,failed_images,failed_video,hover_events,interaction_log,internal_node_id,participant_id,percent_score,phase,phase1_complete,phase2_complete,predictions_shown,probability_estimate,question_order,response,responses,round,rt,rt_total,skeptical_rating,slider_moved,start_time,stimulus,success,time_elapsed,time_on_viz,timeout,total_interactions,total_questions,total_score,travel_choice,trial_index,trial_type,trust_composite,usability_composite,usability_difficulty,view_history,visualization_literacy_score,visualization_shown
,,,,,,,,,,,,,,,,,0.0-10.0,64560bd205fd539c22bc0b37,,,,,,,,0,,,6311,,,,,"
			<div class=""section-intro"">
				<h2>Trust & Experience Assessment</h2>
				<p>Thank you for completing the prediction tasks!</p>
				<p>Now we'd like to understand your experience with the forecast visualization you just used.</p>
			</div>
		",,517951,,,,,,,10,html-button-response,,,,,,
,,,,,condition_4_ensemble_hover,Ensemble + Hover,,,,hover_alternatives,,,,,,,0.0-11.0,64560bd205fd539c22bc0b37,,2,,,,,"[""navigation_control"",""content_control"",""pace_control"",""company_communication"",""interface_responsiveness"",""customer_communication"",""personal_conversation"",""interface_interaction"",""interface_sensitivity""]","{""navigation_control"":5,""content_control"":5,""pace_control"":5,""company_communication"":0,""interface_responsiveness"":3,""customer_communication"":0,""personal_conversation"":0,""interface_interaction"":0,""interface_sensitivity"":0}",,1,44289.09999999963,,,,,,,562241,,,,,,,11,trust-survey,,,,,,
,,,5,,condition_4_ensemble_hover,Ensemble + Hover,,,5,hover_alternatives,,,,,,,0.0-12.0,64560bd205fd539c22bc0b37,,2,,,,,"[""skeptical_rating"",""data_trust"",""usability_difficulty"",""comprehension_ease""]","{""skeptical_rating"":2,""data_trust"":4,""usability_difficulty"":2,""comprehension_ease"":4}",,1,17606.400000000373,,3,,,,,579847,,,,,,,12,trust-survey,5,5,3,,,
,,,,,,,,,,,,,,,,,0.0-13.0,64560bd205fd539c22bc0b37,,,,,,,,0,,,1862,,,,,"
			<div class=""section-intro"">
				<h2>Background Information</h2>
				<p>We're almost finished! This final section will ask for some background information to help us understand our results.</p>
			</div>
		",,581710,,,,,,,13,html-button-response,,,,,,
,,,,,condition_4_ensemble_hover,Ensemble + Hover,,,,,,,,,,,0.0-14.0,64560bd205fd539c22bc0b37,,,,,,,"[""respect_others"",""good_word_everyone"",""retreat_from_others"",""avoid_contacts""]","{""respect_others"":4,""good_word_everyone"":4,""retreat_from_others"":1,""avoid_contacts"":1}",,,14056.400000000373,,,,,,,595767,,,,,,,14,personality-survey,,,,,,
,,,,,condition_4_ensemble_hover,Ensemble + Hover,,,,,,,,,,,0.0-15.0,64560bd205fd539c22bc0b37,,,,,,,,"{""age"":""51"",""major_field"":""self employed""}",,,18517,,,,,,,614286,,,,,,,15,survey-text,,,,,,
,,,,,condition_4_ensemble_hover,Ensemble + Hover,,,,,,,,,,,0.0-16.0,64560bd205fd539c22bc0b37,,,,,,,"[0,1]","{""education"":""High school or equivalent"",""viz_experience"":""Never""}",,,8591,,,,,,,622879,,,,,,,16,survey-multi-choice,,,,,,
,,,,,,,,,,,,,,,,,0.0-17.0,64560bd205fd539c22bc0b37,,,,,,,,,,,,,,,,,true,623884,,,,,,,17,fullscreen,,,,,,
,,,,,,,,,,,,,,,,,0.0-18.0,64560bd205fd539c22bc0b37,,,,,,,,0,,,12457,,,,,"
            <div class=""debrief"">
                <h2>Thank You!</h2>
                <p>This study investigated how different ways of presenting uncertainty in predictions affect trust and decision-making.</p>
                
                <h3>Study Background:</h3>
                <p>You were randomly assigned to one of nine different visualization conditions. The goal is to understand which formats help people make better decisions and maintain appropriate trust in prediction systems.</p>
                
                <p>The air quality data you saw was synthetic (computer-generated) for research purposes.</p>
                
                <h3>Questions?</h3>
                <p>If you have questions about this research, please contact the research team.</p>
                
                <p>Your participation contributes to understanding how to design better prediction visualizations for real-world applications like weather forecasting, financial predictions, and public health data.</p>
            </div>
        ",,636341,,,,,,,18,html-button-response,,,,,,
,,,,"{""id"":""condition_4_ensemble_hover"",""name"":""Ensemble + Hover"",""displayFormat"":""hover_alternatives"",""description"":""Aggregated by default, hover to reveal alternatives"",""instructions"":""Each line represent the prediction from one Forecast Agency.<br><br>Hint: Hover on the lines for more details""}",,,,,,,2025-12-08T21:47:19.420Z,,,,,,,64560bd205fd539c22bc0b37,,,true,true,,,,,,,,,,,2025-12-08T21:36:54.416Z,,,,,,,,,,,,,,,,9,
