city_a_estimate,city_b_estimate,click_events,comprehension_ease,condition,condition_id,condition_name,confidence_label,confidence_rating,data_trust,display_format,end_time,failed_audio,failed_images,failed_video,hover_events,interaction_log,internal_node_id,participant_id,percent_score,phase,phase1_complete,phase2_complete,predictions_shown,probability_estimate,question_order,response,responses,round,rt,rt_total,skeptical_rating,slider_moved,start_time,stimulus,success,time_elapsed,time_on_viz,timeout,total_interactions,total_questions,total_score,travel_choice,trial_index,trial_type,trust_composite,usability_composite,usability_difficulty,view_history,visualization_literacy_score,visualization_shown
,,,,,,,,,,,,,,,,,0.0-10.0,67dd40b531ab9c33ff61e98e,,,,,,,,0,,,6754,,,,,"
			<div class=""section-intro"">
				<h2>Trust & Experience Assessment</h2>
				<p>Thank you for completing the prediction tasks!</p>
				<p>Now we'd like to understand your experience with the forecast visualization you just used.</p>
			</div>
		",,2553278,,,,,,,10,html-button-response,,,,,,
,,,,,condition_5_pi_hover,PI Plot + Hover,,,,hover_bounds,,,,,,,0.0-11.0,67dd40b531ab9c33ff61e98e,,2,,,,,"[""navigation_control"",""content_control"",""pace_control"",""company_communication"",""interface_responsiveness"",""customer_communication"",""personal_conversation"",""interface_interaction"",""interface_sensitivity""]","{""navigation_control"":5,""content_control"":4,""pace_control"":4,""company_communication"":5,""interface_responsiveness"":5,""customer_communication"":5,""personal_conversation"":2,""interface_interaction"":4,""interface_sensitivity"":5}",,1,32733.10000014305,,,,,,,2586014,,,,,,,11,trust-survey,,,,,,
,,,6,,condition_5_pi_hover,PI Plot + Hover,,,6,hover_bounds,,,,,,,0.0-12.0,67dd40b531ab9c33ff61e98e,,2,,,,,"[""skeptical_rating"",""data_trust"",""usability_difficulty"",""comprehension_ease""]","{""skeptical_rating"":3,""data_trust"":5,""usability_difficulty"":1,""comprehension_ease"":5}",,1,16132.099999904633,,4,,,,,2602147,,,,,,,12,trust-survey,6,6,2,,,
,,,,,,,,,,,,,,,,,0.0-13.0,67dd40b531ab9c33ff61e98e,,,,,,,,0,,,2884,,,,,"
			<div class=""section-intro"">
				<h2>Background Information</h2>
				<p>We're almost finished! This final section will ask for some background information to help us understand our results.</p>
			</div>
		",,2605034,,,,,,,13,html-button-response,,,,,,
,,,,,condition_5_pi_hover,PI Plot + Hover,,,,,,,,,,,0.0-14.0,67dd40b531ab9c33ff61e98e,,,,,,,"[""respect_others"",""good_word_everyone"",""retreat_from_others"",""avoid_contacts""]","{""respect_others"":4,""good_word_everyone"":4,""retreat_from_others"":4,""avoid_contacts"":2}",,,14621.100000143051,,,,,,,2619656,,,,,,,14,personality-survey,,,,,,
,,,,,condition_5_pi_hover,PI Plot + Hover,,,,,,,,,,,0.0-15.0,67dd40b531ab9c33ff61e98e,,,,,,,,"{""age"":""34"",""major_field"":""Marketing ""}",,,15922,,,,,,,2635581,,,,,,,15,survey-text,,,,,,
,,,,,condition_5_pi_hover,PI Plot + Hover,,,,,,,,,,,0.0-16.0,67dd40b531ab9c33ff61e98e,,,,,,,"[0,1]","{""education"":""Bachelor's degree"",""viz_experience"":""Weekly""}",,,7625,,,,,,,2643209,,,,,,,16,survey-multi-choice,,,,,,
,,,,,,,,,,,,,,,,,0.0-17.0,67dd40b531ab9c33ff61e98e,,,,,,,,,,,,,,,,,true,2644225,,,,,,,17,fullscreen,,,,,,
,,,,,,,,,,,,,,,,,0.0-18.0,67dd40b531ab9c33ff61e98e,,,,,,,,0,,,19555,,,,,"
            <div class=""debrief"">
                <h2>Thank You!</h2>
                <p>This study investigated how different ways of presenting uncertainty in predictions affect trust and decision-making.</p>
                
                <h3>Study Background:</h3>
                <p>You were randomly assigned to one of nine different visualization conditions. The goal is to understand which formats help people make better decisions and maintain appropriate trust in prediction systems.</p>
                
                <p>The air quality data you saw was synthetic (computer-generated) for research purposes.</p>
                
                <h3>Questions?</h3>
                <p>If you have questions about this research, please contact the research team.</p>
                
                <p>Your participation contributes to understanding how to design better prediction visualizations for real-world applications like weather forecasting, financial predictions, and public health data.</p>
            </div>
        ",,2663781,,,,,,,18,html-button-response,,,,,,
,,,,"{""id"":""condition_5_pi_hover"",""name"":""PI Plot + Hover"",""displayFormat"":""hover_bounds"",""description"":""PI plot with hover to reveal individual predictions"",""instructions"":""Shade represents the region that there are 95% chance the air quality falls in this region.<br><br>Hint: Hover on the lines for more details""}",,,,,,,2025-12-08T21:49:09.182Z,,,,,,,67dd40b531ab9c33ff61e98e,,,true,true,,,,,,,,,,,2025-12-08T21:41:50.394Z,,,,,,,,,,,,,,,,6,
